alpha,beta,mean_bias,mean_uncertainty,mean_rmse,score
0.1,1.0,0.4294037744062771,0.2700050354303503,0.532625119783105,0.9620288941893821
0.5,1.0,0.4288307090267254,0.2695597845137642,0.531899617519339,0.9607303265460644
1.0,1.0,0.42351332136906655,0.2678537681570919,0.527601347846108,0.9511146692151746
2.0,1.0,0.42465274946658665,0.2703735408135405,0.5291681586875854,0.953820908154172
5.0,1.0,0.4252028524838287,0.27260845120547506,0.5305109818669049,0.9557138343507336
10.0,1.0,0.42776903728228577,0.26912120431427217,0.530048431482347,0.9578174687646328
20.0,1.0,0.43113844502457394,0.2754838351129393,0.5360826583128424,0.9672211033374163
0.1,0.1,0.42351332136906655,0.2678537681570919,0.527601347846108,0.9511146692151746
1.0,0.1,0.42776903728228577,0.26912120431427217,0.530048431482347,0.9578174687646328
5.0,0.1,0.3978808854551892,0.26306250036849066,0.5046233476221855,0.9025042330773747
10.0,0.1,0.3951959645673024,0.2634980078939459,0.5025178056570941,0.8977137702243965
20.0,0.1,0.39387252161760666,0.26234253621639614,0.5010101905309179,0.8948827121485246
0.1,0.5,0.42906363475102066,0.27015263721331206,0.5325378380021883,0.961601472753209
1.0,0.5,0.42465274946658665,0.2703735408135405,0.5291681586875854,0.953820908154172
5.0,0.5,0.42776903728228577,0.26912120431427217,0.530048431482347,0.9578174687646328
10.0,0.5,0.43113844502457394,0.2754838351129393,0.5360826583128424,0.9672211033374163
